Role,RoleCMDLet,Parameters
"Transport Queues","Remove-Message","Confirm;Debug;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf;WithNDR"
"Transport Queues","Get-ReceiveConnector","Debug"
"Transport Queues","Get-Message","BookmarkIndex;BookmarkObject;Debug;ErrorAction;ErrorVariable;Filter;Identity;IncludeBookmark;IncludeComponentLatencyInfo;IncludeRecipientInfo;OutBuffer;OutVariable;Queue;ResultSize;ReturnPageInfo;SearchForward;Server;SortOrder;Verbose;WarningAction;WarningVariable"
"Transport Queues","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Transport Queues","Export-Message","Confirm;Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"My Custom Apps","InstallApp",""
"My Custom Apps","New-App","FileData;FileStream;Url"
"MyTeamMailboxes","Update-SiteMailbox","Confirm;Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"MyTeamMailboxes","Test-SiteMailbox","Confirm;Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;RequestorIdentity;UseAppTokenOnly;Verbose;WarningAction;WarningVariable;WhatIf"
"MyTeamMailboxes","Set-SiteMailbox","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ShowInMyClient;Verbose;WarningAction;WarningVariable;WhatIf"
"MyTeamMailboxes","New-SiteMailbox","Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;Name;OutBuffer;OutVariable;SharePointUrl;Verbose;WarningAction;WarningVariable;WhatIf"
"MyTeamMailboxes","Get-SiteMailboxDiagnostics","Confirm;Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;SendMeEmail;Verbose;WarningAction;WarningVariable;WhatIf"
"MyTeamMailboxes","Get-SiteMailbox","Anr;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
"ArchiveApplication","UpdateItemInRecoverableItems",""
"LegalHoldApplication","SetHoldOnMailboxes",""
"LegalHoldApplication","GetHoldOnMailboxes",""
"LegalHoldApplication","GetDiscoverySearchConfiguration",""
"TeamMailboxLifecycleApplication","SetTeamMailbox",""
"Active Directory Permissions","Get-User","Anr;Arbitration;AuditLog;AuxAuditLog;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;SupervisoryReviewPolicy;Verbose;WarningAction;WarningVariable"
"Active Directory Permissions","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Active Directory Permissions","Remove-ADPermission","AccessRights;ChildObjectTypes;Confirm;Debug;Deny;DomainController;ErrorAction;ErrorVariable;ExtendedRights;Identity;InheritanceType;InheritedObjectType;Instance;OutBuffer;OutVariable;Properties;User;Verbose;WarningAction;WarningVariable;WhatIf"
