Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
Transport Hygiene-Organization Management-Delegating,Transport Hygiene,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Reset Password-Help Desk,Reset Password,Help Desk,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
TeamMailboxLifecycleApplication-Organization Management-Delegati,TeamMailboxLifecycleApplication,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
ApplicationImpersonation-Test Application Imperso,ApplicationImpersonation,Test Application Imperso,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Transport Rules-Organization Management-Delegating,Transport Rules,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Data Loss Prevention-Organization Management-Delegating,Data Loss Prevention,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mailbox Search-Discovery Management,Mailbox Search,Discovery Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Organization Transport Settings-Organization Management-Delegati,Organization Transport Settings,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Tenant AllowBlockList Manager-Organization Management-Delegating,Tenant AllowBlockList Manager,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
UM Mailboxes-Organization Management-Delegating,UM Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Tenant AllowBlockList Manager-Security Operator,Tenant AllowBlockList Manager,Security Operator,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Team Mailboxes-Organization Management,Team Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipient Creation-Organization Management-Delegating,Mail Recipient Creation,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Reset Password-Organization Management-Delegating,Reset Password,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Enabled Public Folders-Organization Management-Delegating,Mail Enabled Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Recipients-Organization Management,View-Only Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Federated Sharing-Organization Management,Federated Sharing,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Transport Settings-Organization Management,Organization Transport Settings,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Legal Hold-Organization Management,Legal Hold,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,None,Direct
Transport Rules-Organization Management,Transport Rules,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
ArchiveApplication-Organization Management-Delegating,ArchiveApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipients-Recipient Management,Mail Recipients,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UserApplication-Organization Management-Delegating,UserApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Org Marketplace Apps-Organization Management,Org Marketplace Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Role Management-Organization Management,Role Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Public Folders-Organization Management-Delegating,Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Migration-Organization Management,Migration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
SendMailApplication-Organization Management-Delegating,SendMailApplication,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
UM Prompts-Organization Management-Delegating,UM Prompts,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Recipient Management,Message Tracking,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Configuration-Organization Management,View-Only Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
MyMailboxDelegation-Organization Management-Delegating,MyMailboxDelegation,Organization Management,All Group Members,RoleGroup,,,MyGAL,OrganizationConfig,MailboxICanDelegate,None,Direct
